likes,body,time
32,"«Би-би-си» взял интервью у креативного директора Watch Dogs Legion внутри игры — в центре виртуального Лондона.

Чтобы записать разговор, журналист британского телеканала прибыл в Ubisoft, где отсканировали его внешность и провели захват движений.",1579955093
23,"Каждую субботу инди-разработчики рассказывают на DTF об играх, которые они делают, а также делятся гифками и скриншотами.

Заходите посмотреть или присоединяйтесь, если работаете над собственным проектом.

https://dtf.ru/indie/96821",1579954021
48,"Sony снова отложила выход фильма по серии игр Uncharted — экранизацию перенесли с декабря 2020 года на март 2021 года.
 
Другой «долгострой», киноадаптацию мультсериала «Хи-Мэн и Властелины вселенной», студия вовсе убрала из расписания релизов.",1579949853
54,"Авторы Vampire: The Masquerade – Bloodlines 2 проведут стрим по оригинальной настольной ролевой системе. 
 
Играть будут в новое приключение Vein Pursuit — его действие развернётся до событий второй части Bloodlines и расскажет о группе вампиров-курьеров.",1579948723
67,"Marvel прекратила работу над половиной анонсированных мультсериалов для Hulu — в том числе об Утке Говарде.
 
Сценарий шоу об антропоморфной утке-инопланетянине писал Кевин Смит («Джей и молчаливый Боб»).",1579946220
65,"Как сообщает Deadline, ремейк мультфильма «Пиноккио» от Disney снимет режиссёр «Назад в будущее» Роберт Земекис. Он также выступит соавтором сценария. 
 
Переговоры велись давно, но постановщик был занят «Ведьмами» с Энн Хэтэуэй.",1579943520
105,"Activision Blizzard заключила эксклюзивное соглашение с Google — теперь трансляции киберспортивных лиг по играм издателя будут показывать на YouTube.
 
Компания решила не продлевать сделку с Twitch.",1579942909
89,"Disney начал работу над фильмом по «Бэмби», который снимут с использованием CGI-графики, в стиле экранизаций «Книги джунглей» и «Короля льва». 
 
Сценарий пишут Линдси Бир и Женева Робертсон-Дуорет, которые также участвуют в создании женского спин-оффа «Форсажа».",1579900207
191,"Настоящий «Волк с Уолл-Стрит», бывший брокер Джордан Белфорт, подал в суд на продюсеров фильма по своим мемуарам.

Осуждённый мошенник говорит, что его обманули, купив права на экранизацию за деньги, похищенные из государственного фонда. Вот такая ирония судьбы.",1579896637
146,"Судя по всему, одним из новых героев во втором сезоне «Ведьмака» будет глава реданской разведки Сигизмунд Дийкстра. 
 
На эту роль претендует Грэм Мактавиш, игравший Двалина в «Хоббите» — в сеть попал ролик с его проб.",1579894585
92,"Организаторы конференции GDC опросили четыре тысячи разработчиков и узнали, что игры для следующего поколения консолей создают всего 10% из них, а эксклюзивы для грядущих устройств — 5%. 
 
Исследование также раскрыло, сколько представителей индустрии уверены в успехе EGS и Stadia и какую комиссию считают справедливой для Steam.",1579894494
110,"4A Games опубликовала на своём сайте возможную дату релиза «Истории Сэма» — финального дополнения Metro Exodus.
 
Согласно утечке, которую вскоре удалили, DLC выйдет 11 февраля — в этом же месяце игра появится в Steam, а на Switch выпустят Metro Redux.",1579886103
24,"В эфире вечерний подкаст об играх и фильмах с myPlayStation. 
Лёша Яковлев и Никита Кибкало обсудят Project: Mara от Ninja Theory, реорганизацию Ubisoft, консоли нового поколения и «Брачную историю».",1579885004
117,"В Superliminal нужно менять размеры предметов с помощью перспективы и расстояния до них. Автор игры рассказал, как он реализовал такую технически сложную задумку.

Разработчику требовалось следить за тем, чтобы объекты не застревали в окружении и корректно масштабировались, а Unity для этого подходит не очень хорошо.

#есливыпропустили",1579884660
146,"В сети появился 7-минутный трейлер «Дау» — кинопроекта Ильи Хржановского («4»), общая продолжительность которого составила около 700 часов.

В прокат поступит сокращённая версия из 10 эпизодов — однако четырём из них Минкульт отказал в выдаче удостоверения из-за «материалов, пропагандирующих порнографию».

https://dtf.ru/cinema/96694",1579882063
70,"В магазине GOG стартовала распродажа в честь Китайского Нового года — со скидками до 90% и жанровыми подборками под каждый знак зодиака.

Акция продлится всего неделю — до следующей пятницы.",1579880292
459,"В сети появился новый тизер-трейлер мультсериала по Warhammer 40K под названием «Ангелы смерти», который выйдет в этом году. 
 
Чёрно-белая картинка с вкраплениями красного неплохо передаёт атмосферу мрачной тьмы далёкого будущего. 
 
https://dtf.ru/cinema/96670",1579876500
