likes,body,time
42,,1508882337
5,"Анонимно. Расскажите, пожалуйста, как называлась последняя диета, на которой вы сидели, если можно с подробностями...",1531394165
7,"Достало всё...Ну почему люди такие...Маленькому человечку нужен крестный папа,а из кучи ""друзей"" нет ни одного желающего(((В чем причина то?анон",1531394071
9,А этот пост посвещается нашим питомцам🐱🐭🐰кидайте фотки ваших любимцев❤Анон,1531385340
15,"Предлагаю обсудить такой вопрос: почему-то принято считать, что пожилой человек достоин уважения априори, только потому, что он родился на две космические миллисекунды раньше. Типа старый человек, жизнь прожил, уважайте. А кем тот или иной человек прожил - никто не задумывается, может, мудаком всю жизнь был или ещё что похлеще. За что его уважать?",1531369822
3,"Какие вы сейчас смотрите сериалы, фильмы?",1531320196
5,"Кто то из автолюбителей сталкивался с такой ситуацией, что вы допустим нарушили ПДД и вас остановил сотрудник ДПС и выписал вам штраф. В протоколе они написали как курица лапой 😄 хрен разберешь, и они прошли переатистацию а с почерком у них беда... Почему нельзя заполнять протокол печатными буквами😑 Или пусть берут пропись и учатся заново!!",1531286384
3,Анон какие предпочтения у вас девушки в цветах? какие лучше вам дарить что больше любите?,1531285727
4,"Пожалуйста, анонимно. 
Моей девушке подарили на улице букет, я высказался, что мне это не приятно, и что неприлично принимать подарки от других мужчин. Она сказала, что ей раза 4 в год дарят так на улице цветы, и что не видит в этом ничего такого, и что и будет и дальше принимать такие подарки. Я сам ей дарю цветы каждую неделю, и меня это сильно задело. Не приятно видеть дома у своей девушки букет от другого мужчины. Кто из нас с ней не прав?",1531285390
4,"На пост ранее.
А имеет ли право жена не соглашаться/обижаться на любое решение мужа, если он её обеспечивает?
Анон",1531146850
5,"Имеет ли право муж покупать себе каждый день пиво на вечер, если он приносит в дом всего лишь 25 тысяч рублей зарплаты?
Анон",1531145415
4,"Анон. Девушки,почему вы боитесь когда вам просто предлагают подвезти просто так по пути и ничего большего,не на обочине за городом а в самом городе. Почему вы так себя ведёте как неприступная крепость? Анон",1531145250
12,"Почему все считают, что если ты молод и не уступаешь место в автобусе, то ты сразу невоспитанный?
Мне вот сегодня было настолько плохо, кружилась голова, ноги в ботинках распухли, и я понимала, что если встану, то точно рухну на землю! Но женщина лет 45 намекала мне, чтобы я уступила другой, потом еще и нахамила, мол, пододвиньтесь. Жаль, что многих людей не особо волнует, что другим плохо... лишь бы самому задницу прижать.",1531145077
2,"У меня такой вопросик. Есть пара знакомых,которые говорят,что мы( Россия) подкупили ЧМ 2018. И это повлияло на продление пенсионного возраста, цены на бензин и т.п. А вы в это верите? Мне кажется,что это полный бред.",1531122687
2,"Анон.
Ребят, подскажите, где можно купить больничный, на работе отпуск не переносят, а билеты на море горят, просто выйти на больничный то проблем бы небыло, но я не смогу ходить на прием, анализы сдавать итд.",1531122570
2,Анон. У меня такой вопрос: а куда Аршавин пропал?? В какой команде играет ?,1531122503
0,"Вопрос к товарищам футбольным фанатам! Зa кoгo тeпepь болеть будем?)) Кaкaя страна имеет бoльшe шансов занять первое место? 
Вaши варианты?",1531114338
0,"Ребят,подскажите где можно в пейнтбол поиграть?
Админу радости по больше😄",1531113997
0,"Дорогие подписчики, есть у кого-нибудь из этой коллекции киндера Зеленый Фонарь и Киборг? Может, кому не нужны и вы готовы отдать за что-то взамен? Пожалуйста, двум инфантильным супругам очень не хватает этих персонажей для коллекции",1531113930
0,"Давайте поговорим на тему, которая лично меня очень волнует. Часто вижу девушек с разноцветными волосами, пирсингами, тату, ярким макияжем и т. д., а рядом обычных парней. Раньше думала, что такие девушки нравятся парням с похожими фриковыми вкусами и интересами. Хотелось бы узнать мнение обычных нормальных парней, вы бы встречались с такой девушкой? Не стыдно было бы идти с ней гулять, знакомить с родителями и тд?",1531113786
0,"Чем бы Вы занялись, если бы была гарантия, что неудача Вам не грозит?",1531113678
0,Где в городе продают велосипеды российского производства ?,1531037030
0,"Сейчас лето!Как вы думаете парням с голым торсом можно ведь ходить,гулять по Паркам.лесам?мамашам ведь всё равно будет!А ваше мнение?",1531036899
0,"Под грифом секретно!
Аноним",1530871253
0,"Опишите одной песней, как вы собираетесь провести выходные😉",1530870772
0,"Недавно сидели с девушкой во дворе, целовались, а рядом мамашки с детьми и пивом, говорят нам такие, типо что делаешь, тут же дети, а сами бухают сидят, норм, нет?",1530870671
0,,1530861629
1,Нa моpюшко хочуyууу☀️🌈🔥,1530860956
0,"Немного прикипело.  У меня родился сын, мы встали на очередь получения 300 тыс.р. За первого ребенка, нам сказали что деньги закончились)))))  как блин кончился так быстро один миллиард рублей, якобы будут деньги и получим мы этот сертификат только 2019 или 2020 году полный бред.",1530860823
1,"Начала смотреть Игру Престолов, уже 3 сезон. Мне кажется это шедевр! Так круто что из России даже актер есть! Г- гордость
Оторваться не могу, очень интересно. Есть такие как я? Ставьте лайк!)",1530792610
0,"Каждый день день думаю, что же приготовить на ужин.. Поделитесь, что сегодня вы приготовите?",1530787464
0,"Анон. У кого какие активные хобби? Кто куда ходит ? Чем занимаетесь? Например волейбол, футбол и т.п.",1530772929
1,"А у нас предсказания! Включаем гифку и делаем скрин, посмотрим, что кого ждет😉",1530772758
0,"Ну что друзья, определились все четвертьфиналисты чемпионата мира. Интересно ваше мнение, прогноз кто выйдет в полуфинал? Пишите в коментах.",1530770959
0,"Кто то путешествовал один? Хочу съездить по Российским городом, зову с собой друзей, знакомых, у всех дела, либо давай потом, короче не дождешься. Ну и одной страшно, не известный город, чужие люди, кто то ездил один отдыхать? Расскажите, очень интересно) анон",1530770602
0,"Всем доброе утро! Дорогие велосипедисты, подскажите, стоит ли оставлять велик на велопарковках? Крадут их там вообще или нет? И те, кто ездит на работу на великах, вы где их оставляете? Просто у многих офисов сейчас есть велопарковки, но насколько они безопасны? 🤔",1530770538
0,,1530728520
0,"Дeвчoнки, дeвyшки, жeнщины скажите, кaк вы относитесь к мальчишкам (18+) у кoтopыx нeт военника? Анонимно плиз.",1530725040
