likes,body,time
40,"Первые музыкальные настроения 2020. Псевдо-полевые и этнографические музыкальные сборки, греки и португальцы, мелодичный авангард и шумное раздолье",1579885740
48,"В NASA приняли решение прекратить работу инфракрасного космического телескопа «Спитцер» 30 января 2020 года. Это связано с тем, что телескопом становится все труднее управлять. Обсерватория, проработавшая почти 17 лет, останется в космосе навсегда и будет переведена в режим гибернации

https://nplus1.ru/news/2020/01/25/Spitzer-is-ending",1579949582
74,"Виагра оказалась весьма разноплановым лекарством. Пусть она не помогла мужчинам при ишемической болезни сердца, зато восстановила у них эректильную функцию, а ещё стала средством против лёгочной артериальной гипертензии и может оказаться перспективной для устранения проблем с лимфатической системой. И это ещё не всё: по предварительным данным, силденафил (действующее вещество виагры) усиливает кровоток в плаценте, что при тяжелых схватках может спасти младенцев от гипоксии, а их матерей — от экстренного кесарева сечения

https://nplus1.ru/news/2020/01/25/against-emergency-cs",1579944916
54,"Солнечный зонд «Паркер» начал четвертое тесное сближение с Солнцем, и готовится поставить новые рекорды. 29 января он промчится на расстоянии около 18,6 миллионов километров от звезды, став самым близким к ней рукотворным аппаратом, что позволит накопить новые уникальные данные о внешних слоях нашего светила

https://nplus1.ru/news/2020/01/25/Parker-and-Sun",1579939492
98,"Boston Dynamics разрешила всем желающим разрабатывать программы для четвероногого робота Spot, опубликовав SDK для работы с ним на GitHub. А для развития сообщества разработчиков программного и аппаратного обеспечения компания будет проводить ежегодную конференцию, первая из которых пройдет в середине мая

https://nplus1.ru/news/2020/01/24/spot-sdk",1579894759
52,"Сегодня в земной атмосфере примерно 0,04 процента углекислого газа, но в древности его было намного больше. Однако сколько точно — сказать сложно. Ученые промоделировали процесс разогрева и окисления микрометеоритов, упавших 2,7 миллиарда лет назад, и пришли к выводу, что тогда газовая оболочка состояла по крайней мере на 70 процентов из углекислого газа

https://nplus1.ru/news/2020/01/24/overt",1579891764
22,"Останки погибших животных дают пищу не только падальщикам, но и животным других экологических групп, растениям и прочим организмам. Эту простую мысль игнорируют люди, которым приходится жить или бывать недалеко от трупов крупных млекопитающих. Вероятно, поэтому европейские учёные отследили, как меняется количество членистоногих и биомасса растений там, где погибли крупные олени, и показали, что оба этих показателя при наличии падали растут. Это происходит, даже если почва в тех местах сама по себе богата органикой и минеральными веществами

https://nplus1.ru/news/2020/01/24/oostvaardersplassen-carrion",1579888791
24,"Waymo начинает готовиться к испытаниям беспилотных грузовиков в американских штатах Нью-Мексико и Техас. В течение недели на дороги выедут беспилотные минивены для составления точных карт местности, а затем начнутся испытания робогрузовиков. Компания будет испытывать грузовики на больших магистралях, которые она считает перспективными с коммерческой точки зрения

https://nplus1.ru/news/2020/01/24/waymo",1579882764
75,"23 января 2020 года «Бюллетень ученых-ядерщиков» передвинул время на «Часах Судного дня» на 20 секунд ближе к полуночи. Они теперь показывают 23:58:20. Мы решили вспомнить историю «Часов Судного дня», попытаться понять, почему в последние несколько лет ученые-ядерщики стали сдвигать время не на минуты, как прежде, а на секунды, и почему концепцию часов, появившихся в 1947 году, пора пересматривать

https://nplus1.ru/blog/2020/01/24/clock",1579879781
40,"Межпланетная станция OSIRIS-REx успешно совершила близкий пролет над областью «Соловей» на астероиде Бенну, откуда в августе этого года возьмет пробу грунта. Задачей аппарата было исследование поверхности астероида при помощи спектрометров и получение ее детализированных снимков, по которым он будет в дальнейшем ориентироваться

https://nplus1.ru/news/2020/01/24/OSIRIS-REx-Nightingale",1579876751
34,"Существует большое разнообразие сверхновых — катастрофических взрывов звезд. Одним из самых необычных типов оказываются сверхмощные сверхновые, светимость которых превышает стандартные значения до ста раз. Астрономы нашли объяснение такой вспышке SN 2006gy. Авторы приходят к выводу, что она связана со стандартной сверхновой типа Ia, но порожденная ей ударная волна столкнулась с массивной оболочкой с высоким содержанием железа

https://nplus1.ru/news/2020/01/24/superluminous",1579873150
112,"Британские ученые сумели воссоздать голос древнеегипетского жреца, жившего более трех тысяч лет назад. Для этого они создали КТ-снимки мумии и 3D-печатную копию речевого тракта, после чего подключили к ней динамик и записали получившийся на выходе звук

https://nplus1.ru/news/2020/01/24/mummy",1579870758
32,"Швейцарская почтовая служба Swiss Post решила с 27 января возобновить доставку грузов дронами Matternet. Ее приостановили в июле прошлого года из-за того, что во время аварийной посадки у одного из дронов оборвался трос парашюта. Теперь в Swiss Post заявили, что полеты дронов безопасны для людей на земле, и что служба приняла все меры для дальнейшего усиления этой безопасности

https://nplus1.ru/news/2020/01/24/drones",1579867510
48,"Вчера мы вслед за одной группой китайских учёных написали, что новый коронавирус 2019-nCoV мог появиться в результате гибридизации вирусов летучих мышей и змей. Сегодня в этом уже большие сомнения: и новое исследование другой команды уханьских вирусологов, и комментарии специалистов со всего мира говорят о том, что рептилии, скорее всего, не причастны к появлению и распространению инфекции

https://nplus1.ru/news/2020/01/24/wuhan-again",1579863708
25,"Во время наземных испытаний прототипа израильского электрического пассажирского самолета Alice произошел пожар. Предположительно, причиной стала внешняя аккумуляторная батарея. Самолет получил серьезные повреждения

https://nplus1.ru/news/2020/01/24/fire",1579852802
140,"Градус — необычная единица измерения. В градусах измеряют углы и температуру, а еще плотность жидкости, качество молока и долю спирта. В нашем материале рассказываем, как так получилось, какие альтернативы существуют для градуса и о том, когда в быту нам пригождается температура в Кельвинах

https://nplus1.ru/material/2020/01/23/gradus-history",1579849488
104,"Эспрессо — это один из самых популярных кофейных напитков, однако у него есть проблема: от чашки к чашке вкус, скорее всего, будет меняться. Математики создали модель растворения кофе и пришли к выводу, что дело в величине крупинок: если молоть не очень мелко, то можно добиться воспроизводимости вкуса, а заодно и сэкономить зерна

https://nplus1.ru/news/2020/01/23/espresso",1579846307
