likes,body,time
11,"ФСБ сорвала опасные планы Киева в Крыму 
 
➡Подробнее: https://russian.rt.com/russia/news/711282-krym-ukrainskie-speclsluzhby-shrony",1579957080
11,"Неожиданные подробности вокруг дела об убийстве девушки из-за Audi Q5 на Урале 
 
➡Подробнее: https://russian.rt.com/russia/news/711299-ekaterinburg-ubiistvo-devushka-mashina",1579956660
13,"Судьбоносное решение Мишустина насчёт Пенсионного фонда 
 
➡Подробнее: https://russian.rt.com/russia/article/710888-pravitelstvo-mishustin-naznacheniya-topilin-pensii",1579956240
30,"США похоронили мечты Токио на возвращение Курил 
 
➡Подробнее: https://russian.rt.com/inotv/2020-01-23/Asia-Times-dogovor-mezhdu-SSHA",1579955820
30,"В МИД России жёстко отреагировали на выдворение двух дипломатов

➡Подробнее: https://russian.rt.com/world/news/711687-mid-rossiya-bolgariya",1579955340
17,"Латыпов и Резцова в борьбе за награды: в Поклюке проходит сингл-микст на этапе КМ по биатлону

➡ОНЛАЙН: https://russian.rt.com/sport/article/711655-poklyuka-singl-mikst-biatlon",1579954959
43,"Голливудский актёр снискал бурные аплодисменты за своё высказывание насчёт России 
 
➡Подробнее: https://russian.rt.com/inotv/2020-01-24/Til-SHvajger-SSHA-vsegda-stremilis",1579954560
18,"Инцидент с военным вертолётом США около Окинавы

➡Читать далее: https://russian.rt.com/world/news/711676-vertolyot-ssha-voda-okinava",1579954140
12,"Путин дал поручение насчёт приговора Константину Котову

➡Подробнее: https://russian.rt.com/russia/news/711683-kotov-proverka-genprokuratura",1579953660
19,"В Польше сделали ошеломляющее заявление насчёт итогов Второй мировой войны 

➡Подробнее: https://russian.rt.com/world/news/711670-polsha-rossiya-kompensaciya-trebovanie",1579953300
97,"В Палестине восхитились поступком Путина 
 
➡ВИДЕО: https://russian.rt.com/world/news/711453-putin-palestina-furazhka",1579952880
38,"Глава МЧС России резко отреагировал на поведение главы Чувашии, который заставил пожарного подпрыгивать за ключами от машины 
 
➡Подробнее: https://russian.rt.com/russia/news/711446-mchs-glava-chuvashiya",1579952460
17,"Макгрегор ошеломил общественность, раскрыв, на что готов пойти ради боя с Нурмагомедовым 
 
➡Подробнее: https://russian.rt.com/sport/news/709430-makgregor-nurmagomedov-dagestan",1579952040
18,"Тревожные новости о распространении нового смертельного вируса 
 
➡Читать далее: https://russian.rt.com/world/news/711652-gonkong-vysshii-uroven-reagirovaniya",1579951620
104,"Путин: «Надо показать, что это за люди. Какие-то моральные уроды» 
 
➡Подробнее: https://russian.rt.com/russia/news/709219-urody-podderzhka-putin",1579951200
29,"«Это был лагерь спецназа, в котором я тренировалась вместе с тремя девочками из UFC» 
 
➡Подробнее: https://russian.rt.com/sport/news/709743-doch-peskova-trenirovki-ufc",1579950780
47,"Российские «Авангарды» посеяли панику в Германии 
 
➡Подробнее: https://russian.rt.com/inotv/2020-01-18/Nemeckij-fizik-ob-Avangardah-chuvstvo",1579950360
16,"«Если я на это пойду, то белорусы меня съедят в течение одного года» 
 
➡Подробнее: https://russian.rt.com/ussr/news/711348-lukashenko-belorussiya-prezident",1579949940
25,"Лишённая прав актриса Бочкарёва сделала неожиданное заявление 
 
➡Подробнее: https://russian.rt.com/nopolitics/news/710944-aktrisa-bochkareva-avtomobil",1579949520
48,"Путин направил телеграмму турецкому лидеру Эрдогану 

➡Читать далее: https://russian.rt.com/world/news/711649-putin-soboleznovaniya-turciya-zemletryasenie",1579949100
19,"«Такой болезни нет. Вы всё придумали, чтобы получить бюджетные деньги» 
 
➡Подробнее: https://russian.rt.com/russia/article/710642-semya-zabolevanie-lekarstvo",1579948680
25,"В США приняли решение насчёт иностранных курсантов на фоне трагедии на военной базе США во Флориде 
 
➡Подробнее: https://russian.rt.com/world/news/711646-ssha-kontrol-inostrancy-voennye-bazy",1579948260
43,"Глава Чувашии заставил пожарного подпрыгивать за ключами от машины 
 
➡Подробнее: https://russian.rt.com/russia/news/711385-mchs-chuvashiya-klyuchi-tehnika",1579947840
17,"В ДНР сообщили о дерзкой выходке ВСУ

➡Подробнее: https://russian.rt.com/ussr/news/711627-dnr-vsu-obstrely",1579947420
15,,1579947000
23,"«Очень сильно нас затрясло. Мы ужасно перепугались»

➡Подробнее: https://russian.rt.com/world/article/711611-zemletryasenie-turciya-pogibshie",1579946582
60,"«Мой дорогой друг, президент Путин, я согласен с вами»: один из самых влиятельных людей мира обратился к Путину 
 
➡Читать далее: https://ru.rt.com/f8ou",1579946160
21,"Боец UFC рассказал о неприятном инциденте с российским флагом 

➡Читать далее: https://russian.rt.com/sport/news/711641-habilov-flag-rossiya-otec-nurmagomedov",1579945740
19,"Страшная трагедия в Турции унесла жизни по меньшей мере 21 человека

➡Подробнее: https://russian.rt.com/world/foto/711634-turciya-zemletryasenie-foto",1579945320
22,"ЦБ отозвал лицензию у известного банка 
 
➡Подробнее: https://ru.rt.com/f8sj",1579944900
12,"Инцидент с самолётом компании S7

➡Подробнее: https://russian.rt.com/russia/news/711637-samolyot-vernulsya-novosibirsk",1579944480
17,"В Кремле прокомментировали сообщения об отставке Суркова

➡Подробнее: https://russian.rt.com/russia/news/711644-peskov-surkov-pomoschnik",1579944000
20,"Лукашенко отправил телеграмму одному из самых влиятельных людей мира 

➡Подробнее: https://russian.rt.com/world/news/711636-lukashenko-priglashenie-si-czinpin",1579943640
20,"В МИД Ирана раскрыли правду о судьбе иранского военнослужащего, который ошибочно сбил украинский самолёт 

➡Подробнее: https://russian.rt.com/world/news/711639-zarif-samolyot-iran",1579943160
20,"«Это колоссальный провал»

➡Подробнее: https://russian.rt.com/inotv/2020-01-25/Britanskij-istorik-kanclerstvo-Merkel-",1579942817
26,"Тревожные новости о демографии в России 

➡Читать далее: https://russian.rt.com/inotv/2020-01-25/Stratfor-predryok-Rossii-novie-demograficheskie",1579942200
8,"«Есть выражение, немного грубое»: Ходыкин бурно отреагировал на падение партнёрши на ЧЕ 
 
➡Подробнее: https://russian.rt.com/sport/article/711603-figurnoe-katanie-pary-che-kommentarii",1579941600
85,"«Этим он оскорбил не только гостей из других государств, но и сам Израиль»

➡Мнения: https://russian.rt.com/opinion/711340-sosnovskii-zelenskii-izrail-skandal",1579941003
10,"Возросло число жертв землетрясения в Турции

➡Подробнее: https://russian.rt.com/world/news/711625-zemletryasenie-turciya-pogibshie-21",1579940400
69,"«Русские идут! — визжал он. — Русские идут!» 

➡Подробнее: https://russian.rt.com/inotv/2020-01-24/Fox-News-Russkie-idut-",1579939800
17,"Новый поворот в шокирующем деле о 39 трупах в грузовике в Англии 
 
➡Читать далее: https://russian.rt.com/world/news/711430-ekstradiciya-obvinyaemyi-gibel-migranty",1579939210
67,"«Нас раком поставили по углеводородам, и никто на это не посмотрел»

➡Подробнее: https://russian.rt.com/inotv/2020-01-24/Lukashenko-ya-ne-mogu-pozvolit",1579938600
124,"Слова экс-президента Латвии о русском языке вызвали реакцию в России 

➡Подробнее: https://russian.rt.com/ussr/news/711620-latviya-eks-prezident-yazyk",1579938000
45,"В России госпитализирован мужчина с подозрением на коронавирус

➡Подробнее: https://ru.rt.com/f936",1579937340
30,"Названо число россиян, которым в наибольшей степени может угрожать новый коронавирус 
 
➡Подробнее: https://russian.rt.com/world/news/711558-ator-turisty-kitai",1579936801
37,"Полиция Великобритании приняла решение по украинскому гербу — трезубцу, который попал в пособие против терроризма 
 
➡Подробнее: https://ru.rt.com/f8oi",1579936200
12,"МЧС обратилось к жителям Москвы с предупреждением 

➡Подробнее: https://russian.rt.com/russia/news/711614-moskva-veter-pogoda",1579935617
